employee_id,order_month,NumOrders
1,1996-07,1
1,1996-08,5
1,1996-09,5
1,1996-10,2
1,1996-11,4
1,1996-12,9
1,1997-01,3
1,1997-02,2
1,1997-03,5
1,1997-04,1
1,1997-05,5
1,1997-06,4
1,1997-07,7
1,1997-08,3
1,1997-09,8
1,1997-10,7
1,1997-11,3
1,1997-12,7
1,1998-01,9
1,1998-02,9
1,1998-03,11
1,1998-04,8
1,1998-05,5
2,1996-07,1
2,1996-08,2
2,1996-09,5
2,1996-10,2
2,1996-11,2
2,1996-12,4
2,1997-01,4
2,1997-02,1
2,1997-03,4
2,1997-04,3
2,1997-05,3
2,1997-06,4
2,1997-07,3
2,1997-08,1
2,1997-09,7
2,1997-10,1
2,1997-11,5
2,1997-12,5
2,1998-01,7
2,1998-02,3
2,1998-03,9
2,1998-04,18
2,1998-05,2
3,1996-07,4
3,1996-08,2
3,1996-09,1
3,1996-10,3
3,1996-11,4
3,1996-12,4
3,1997-01,7
3,1997-02,9
3,1997-03,3
3,1997-04,5
3,1997-05,5
3,1997-06,6
3,1997-07,2
3,1997-08,4
3,1997-09,4
3,1997-10,7
3,1997-11,8
3,1997-12,11
3,1998-01,10
3,1998-02,6
3,1998-03,12
3,1998-04,10
4,1996-07,7
4,1996-08,5
4,1996-09,3
4,1996-10,8
4,1996-11,5
4,1996-12,3
4,1997-01,8
4,1997-02,6
4,1997-03,4
4,1997-04,8
4,1997-05,5
4,1997-06,5
4,1997-07,6
4,1997-08,11
4,1997-09,5
4,1997-10,7
4,1997-11,6
4,1997-12,10
4,1998-01,6
4,1998-02,14
4,1998-03,12
4,1998-04,10
4,1998-05,2
5,1996-07,3
5,1996-09,1
5,1996-10,2
5,1996-11,2
5,1996-12,3
5,1997-03,3
5,1997-05,2
5,1997-06,2
5,1997-07,1
5,1997-08,3
5,1997-09,2
5,1997-10,3
5,1997-11,1
5,1997-12,1
5,1998-01,4
5,1998-02,6
5,1998-03,2
5,1998-04,1
6,1996-07,2
6,1996-08,4
6,1996-09,3
6,1996-11,3
6,1996-12,3
6,1997-01,2
6,1997-02,2
6,1997-03,2
6,1997-04,4
6,1997-05,2
6,1997-06,2
6,1997-07,2
6,1997-08,2
6,1997-09,1
6,1997-10,4
6,1997-11,5
6,1997-12,5
6,1998-01,3
6,1998-02,4
6,1998-03,7
6,1998-04,5
7,1996-08,1
7,1996-09,2
7,1996-10,5
7,1996-11,3
7,1997-01,3
7,1997-02,1
7,1997-03,2
7,1997-04,6
7,1997-05,5
7,1997-06,1
7,1997-07,5
7,1997-08,3
7,1997-09,5
7,1997-10,1
7,1997-11,1
7,1997-12,3
7,1998-01,4
7,1998-02,6
7,1998-03,4
7,1998-04,9
7,1998-05,2
8,1996-07,2
8,1996-08,6
8,1996-09,3
8,1996-10,2
8,1996-11,2
8,1996-12,4
8,1997-01,5
8,1997-02,8
8,1997-03,6
8,1997-04,2
8,1997-05,4
8,1997-06,3
8,1997-07,6
8,1997-08,5
8,1997-09,3
8,1997-10,7
8,1997-11,2
8,1997-12,3
8,1998-01,7
8,1998-02,2
8,1998-03,10
8,1998-04,9
8,1998-05,3
9,1996-07,2
9,1996-10,2
9,1996-12,1
9,1997-01,1
9,1997-03,1
9,1997-04,2
9,1997-05,1
9,1997-06,3
9,1997-07,1
9,1997-08,1
9,1997-09,2
9,1997-10,1
9,1997-11,3
9,1997-12,3
9,1998-01,5
9,1998-02,4
9,1998-03,6
9,1998-04,4
